"scientific_name","australian_common_name","epbc_threat_status","iucn_ranking"
"Aipysurus apraefrontalis","Short-nosed seasnake","Critically Endangered","Data Deficient"
"Aipysurus foliosquama","Leaf-scaled seasnake","Critically Endangered","Data Deficient"
"Carcharhinus amblyrhynchos","Grey Reef Shark",NA,"Endangered"
"Carcharhinus leucas","Bull Shark",NA,"Vulnerable"
"Carcharhinus plumbeus","Sandbar Shark",NA,"Endangered"
"Carcharhinus sorrah","Spot-tail Shark",NA,"Near Threatened"
"Caretta caretta","Loggerhead turtle",NA,"Vulnerable"
"Chelonia mydas","Green turtle",NA,"Endangered"
"Choerodon schoenleinii","Blackspot Tuskfish",NA,"Near Threatened"
"Galeocerdo cuvier","Tiger Shark",NA,"Near Threatened"
"Glaucostegus typus","Giant Shovelnose Ray",NA,"Critically Endangered"
"Hemipristis elongata","Fossil Shark",NA,"Endangered"
"Nebrius ferrugineus","Tawny Shark",NA,"Vulnerable"
"Negaprion acutidens","Lemon Shark",NA,"Endangered"
"Rhynchobatus australiae","Whitespotted Guitarfish",NA,"Critically Endangered"
"Scomberomorus commerson","Spanish Mackerel",NA,"Near Threatened"
"Sphyrna mokarran","Great Hammerhead","Conservation Dependent","Critically Endangered"
"Stegostoma tigrinum","Zebra Shark",NA,"Endangered"
"Taeniurops meyeni","Blotched Fantail Ray",NA,"Vulnerable"
"Triaenodon obesus","Whitetip Reef Shark",NA,"Vulnerable"
