network,park
South-west,Abrolhos
South-west,Bremer
South-west,Eastern Recherche
South-west,Geographe
South-west,Great Australian Bight
South-west,Jurien
South-west,Murat
South-west,Perth Canyon
South-west,South-west Corner
South-west,Southern Kangaroo Island
South-west,Twilight
South-west,Two Rocks
South-west,Western Eyre
South-west,Western Kangaroo Island
North-west,Argo-Rowley Terrace
North-west,Ashmore Reef
North-west,Carnarvon Canyon
North-west,Cartier Island
North-west,Dampier
North-west,Eighty Mile Beach
North-west,Gascoyne
North-west,Kimberley
North-west,Mermaid Reef
North-west,Montebello
North-west,Ningaloo
North-west,Roebuck
North-west,Shark Bay
North,Arafura
North,Arnhem
North,Gulf of Carpentaria
North,Joseph Bonaparte Gulf
North,Limmen
North,Oceanic Shoals
North,Wessel
North,West Cape York
Coral Sea,Coral Sea
Temperate East,Central Eastern
Temperate East,Cod Grounds
Temperate East,Gifford
Temperate East,Hunter
Temperate East,Jervis
Temperate East,Lord Howe
Temperate East,Norfolk
Temperate East,Solitary Islands
South-east,Apollo
South-east,Beagle
South-east,Boags
South-east,East Gippsland
South-east,Flinders
South-east,Franklin
South-east,Freycinet
South-east,Huon
South-east,Macquarie Island
South-east,Murray
South-east,Nelson
South-east,South Tasman Rise
South-east,Tasman Fracture
South-east,Zeehan
